year     prod_p   price    cons     price_r
1969     1306.2   240.2    1482     614
1970     1481     204      1931     409
1971     1358.3   266.9    1581     376
1972     1314     319.3    1682     309
1973     1404.3   392.1    1415     428
1974     1301.6   338.8    1634     568
1975     1247.3   399.3    1381     469
1976     1105.4   392.2    1665     312
1977     1330.5   563      1555     653
1978     1295.1   428.7    1291     734
1979     1261.8   293.4    1560     348
1980     1099.8   345.2    1638     346
1981     1316.1   512.9    1516     700
1982     1351.1   580      1091     789
1983     1173.1   414.7    1843     598
1984     1363.6   562.8    1377     889
1985     1525.9   463.4    1584     600
1986     1511.3   509.3    1348     448
1987     1281.9   448.9    1707     622
1988     1606.5   508.6    1376     865
1989     1673.6   400.5    1835     712
1990     1620.1   511      1240     1020
1991     2056.7   761.9    1305     1521
1992     2263.7   507.1    1395     1260
1993     2343.7   619.5    1859     473.5
1994     2235.8   695      1479     949
1995     2435.7   890.5    1397     1244.5
1996     2773.2   1006.5   1401     1160.5
1997     2596.8   766.7    1391     1020.7
1998     2706.3   751.5    1525     605.5
1999     2913.2   655.4    1491     909.4
2000     3012.2   642.3    1742     496.3

